Founded_Year,Organization Name,Funding Status,Last_Funding_Year,Last Funding Type
2014,Heliocor,Seed,2018.0,Pre-Seed
2017,Oriente,Early Stage Venture,2018.0,Series A
2015,Lemonade,Late Stage Venture,2017.0,Series C
2010,Trusted Insight,Early Stage Venture,2016.0,Series A
2016,Fluidly,Early Stage Venture,2018.0,Series A
2010,Drawbridge,,2018.0,Venture - Series Unknown
2012,Onfido,Late Stage Venture,2017.0,Series C
2012,AppZen,Early Stage Venture,2018.0,Series B
2009,Meniga,,2018.0,Venture - Series Unknown
2015,omni:us,Early Stage Venture,2018.0,Series A
2016,Syndio Solutions,Seed,2018.0,Seed
2014,Fraugster,Early Stage Venture,2018.0,Series B
2012,Riskified,Late Stage Venture,2017.0,Series C
2018,Figure,Early Stage Venture,2018.0,Series A
2012,Kreditech Holding,Late Stage Venture,2017.0,Corporate Round
2009,Feedzai,Late Stage Venture,2017.0,Series C
2011,Sift Science,Late Stage Venture,2018.0,Secondary Market
2013,Cazana,Seed,2017.0,Seed
2010,Narrative Science,Late Stage Venture,2017.0,Series D
2008,Featurespace,,2017.0,Venture - Series Unknown
2015,AND Global Pte.Ltd,Seed,2018.0,Seed
2015,DAYLI Financial Group,Early Stage Venture,2017.0,Series B
2013,MoneyLion,Early Stage Venture,2018.0,Series B
2009,ZestFinance,,2016.0,Undisclosed
2008,Ayasdi,Late Stage Venture,2015.0,Series C
2016,Portal Finance,,2018.0,Venture - Series Unknown
2013,ThetaRay,Early Stage Venture,2018.0,Series B
2016,Dave Inc.,,2018.0,Debt Financing
2011,Digital Shadows,Late Stage Venture,2017.0,Series C
2014,Finn AI,Early Stage Venture,2018.0,Series A
2013,Bankorus,Seed,2017.0,Non-equity Assistance
2015,wefox Group,Early Stage Venture,2017.0,Debt Financing
2013,Kasisto,Early Stage Venture,2017.0,Series B
2012,Socure Inc.,Early Stage Venture,2017.0,Series B
2013,DataVisor,Late Stage Venture,2018.0,Series C
2013,Deserve,Late Stage Venture,2018.0,Series C
2013,Lumiata,Early Stage Venture,2018.0,Series B
2014,Behavox,Early Stage Venture,2017.0,Series B
2015,Cleo,Early Stage Venture,2018.0,Series A
2014,Ravelin,Early Stage Venture,2018.0,Series B
2014,Simility,M&A,2017.0,Series B
2016,Quantexa,Early Stage Venture,2018.0,Series B
2012,Emailage,Early Stage Venture,2018.0,Series B
2014,CloudCherry,Early Stage Venture,2018.0,Series A
