Year,Org_Name,Funding_Round_Type,Funding_Amt_USD,Funding_Stage
2018,Zelros,Series A,4532800,Early Stage
2018,Axyon AI,Series Unknown,1473160,Uncategorized
2018,Oriente,Series A,105000000,Early Stage
2018,MDOTM AI-Driven Investment Strategies,Series A,2270400,Early Stage
2018,QuantumSense,Seed,0,Seed
2018,OnSiteIQ,Seed,2000000,Seed
2018,Syndio Solutions,Seed,5200000,Seed
2018,Knowtions Research,Series A,4999999,Early Stage
2018,Fluidly,Series A,6475933,Early Stage
2018,Fraugster,Series B,14000000,Early Stage
2018,Meniga,Series Unknown,3428400,Uncategorized
2018,LogosBlock,Seed,750000,Seed
2018,AND Global Pte.Ltd,Seed,5300000,Seed
2018,Symend,Grant,175000,Seed
2018,Heliocor,Pre Seed,1700000,Seed
2018,omni:us,Series A,22402840,Early Stage
2018,AppZen,Series B,35000000,Early Stage
2018,PeopleFund,Series B,11000000,Early Stage
2018,HyperProof,Series Unknown,1750000,Uncategorized
2018,Blue Ocean Robotics,Series Unknown,17102220,Uncategorized
2018,Skyline Partners,Series Unknown,0,Uncategorized
2018,Finn AI,Series A,10696357,Early Stage
2018,SHADE.ai,Seed,0,Seed
2018,Stakana Analytics,Seed,0,Seed
2018,Lokalist,Pre Seed,46007,Seed
2018,MK Decision,Pre Seed,938000,Seed
2018,Tokendata,Initial Coin Offering,0,Uncategorized
2018,Delos,Seed,205000,Seed
2018,10XTS,Series A,0,Early Stage
2018,Solisite,Seed,160000,Seed
2018,Akselos,Series Unknown,10000000,Uncategorized
2018,Canopy,Series A,4800000,Early Stage
2018,Cleo,Series A,10000000,Early Stage
2018,Funding Options,Series Unknown,6642397,Uncategorized
2018,Site 1001 Inc.,Series Unknown,6275000,Uncategorized
2018,Responsive,Seed,845580,Seed
2018,AdviceRobo,Series Unknown,0,Uncategorized
2018,Scylla,Seed,0,Seed
2018,InfoBionic,Series Unknown,50000000,Uncategorized
2018,Cosmo Tech,Series B,21000000,Early Stage
2018,Ravelin,Series B,10395652,Early Stage
2018,Harvest Platform,Series Unknown,0,Uncategorized
2018,Fintros,Funding Round,0,Uncategorized
2018,FairFrame,Pre Seed,120000,Seed
2018,OakNorth,Series B,100000000,Early Stage
2018,CloudCherry,Series A,9000000,Early Stage
2018,Portal Finance,Series Unknown,200000000,Uncategorized
2018,Sarwa.co,Seed,1300000,Seed
2018,Receptiviti,Series A,1763908,Early Stage
2018,Symmetrical.ai,Funding Round,291275,Uncategorized
2018,RE Solutions,Convertible Note,0,Seed
2018,Eirium Technologies,Pre Seed,0,Seed
2018,Loro co.,Seed,0,Seed
2018,Pagaya,Series B,14000000,Early Stage
2018,Colendi,Series Unknown,2500000,Uncategorized
2018,Deserve,Series C,17000000,Late Stage
2018,Exabel,Seed,4710000,Seed
2018,Galaxy.AI,Series Unknown,2899999,Uncategorized
2018,Rippleshot,Convertible Note,1500000,Seed
2018,DueDil,Series C,10210331,Late Stage
2018,Drawbridge,Series Unknown,15000000,Uncategorized
2018,Rotageek,Series Unknown,5105165,Uncategorized
2018,FeedStock,Series Unknown,0,Uncategorized
2018,Portal Finance,Seed,1600000,Seed
2018,Quantexa,Series B,20000000,Early Stage
2018,OTTOO,Seed,50000,Seed
2018,Cove,Seed,1361028,Seed
2018,Halos Insurance,Angel,120000,Seed
2018,Voiceitt,Seed,20000,Seed
2018,Tradeteq,Seed,6300000,Seed
2018,DPOrganizer,Series A,3512100,Early Stage
2018,Cignifi,Series Unknown,4250000,Uncategorized
2018,Kellify,Seed,1730000,Seed
2018,FitBliss Inc.,Convertible Note,119999,Seed
2018,Cybertonica Ltd.,Grant,117350,Seed
2018,Bambu,Series A,3000000,Early Stage
2018,Sift Science,Secondary Market,0,Late Stage
2018,Lumiata,Series B,11000000,Early Stage
2018,CallVU,Series A,0,Early Stage
2018,IZICAP,Series Unknown,6985199,Uncategorized
2018,Exo Investing,Seed,19247250,Seed
2018,ThetaRay,Series B,30000000,Early Stage
2018,Sigma Ratings Inc.,Seed,2400000,Seed
2018,AnChain.ai,Seed,0,Seed
2018,7 Chord,Seed,517000,Seed
2018,Zliide,Seed,984418,Seed
2018,Panda Technology,Angel,1511000,Seed
2018,Formotiv,Seed,405000,Seed
2018,Neotic,Seed,0,Seed
2018,Boatsetter,Series A,3300000,Early Stage
2018,Emailage,Series B,10000000,Early Stage
2018,Plum,Equity Crowdfunding,781746,Uncategorized
2018,AND Global Pte.Ltd,Debt Financing,1251000,Uncategorized
2018,UniBit Inc.,Seed,0,Seed
2018,GTop Group Inc.,Seed,500000,Seed
2018,DocAuthority,Series A,10000000,Early Stage
2018,Meniga,Series Unknown,3600000,Uncategorized
2018,iPampas,Seed,0,Seed
2018,PayScanner,Seed,332715,Seed
2018,Teleporter,Seed,40000,Seed
2018,Wisboo,Seed,40000,Seed
2018,Codela,Seed,40000,Seed
2018,Kuan Intelligence,Seed,40000,Seed
2018,Smart Mimic,Seed,40000,Seed
2018,Publicfast,Seed,40000,Seed
2018,Cabture,Seed,40000,Seed
2018,VeriSmart,Seed,40000,Seed
2018,OnSiteIQ,Pre Seed,0,Seed
2018,sensfix,Seed,40000,Seed
2018,KOMPAS,Seed,40000,Seed
2018,Digital Claim,Seed,500000,Seed
2018,Volareo,Seed,0,Seed
2018,Optiyol,Seed,40000,Seed
2018,Change Labs,Series Unknown,1400000,Uncategorized
2018,Agate,Initial Coin Offering,700000,Uncategorized
2018,Property Passbook,Seed,625000,Seed
2018,Flock Ltd.,Seed,2984232,Seed
2018,Uppsala Foundation,Initial Coin Offering,8000000,Uncategorized
2018,Heliocor,Pre Seed,1000000,Seed
2018,The Odyssey Project Inc.,Seed,0,Seed
2018,RemitRix,Seed,260000,Seed
2018,Figure,Series A,50000000,Early Stage
2018,Techwisely Ltd,Seed,66683,Seed
2018,Vidrona,Grant,80020,Seed
2018,Lending Express,Seed,2700000,Seed
2018,CashDirector SA,Seed,0,Seed
2018,ODN,Seed,0,Seed
2018,Xinshu Credit,Seed,0,Seed
2018,TruValue Labs,Series A,13600000,Early Stage
2018,Flook,Series A,0,Early Stage
2018,Exabel,Grant,1750000,Seed
2018,Evovest,Seed,332728,Seed
2018,IPwe,Series Unknown,2050000,Uncategorized
2018,Safehub,Convertible Note,0,Seed
2018,Mark Labs,Convertible Note,0,Seed
2018,FairFrame,Grant,75000,Seed
2018,Quovo,Series B,4800000,Early Stage
2018,InsureVite,Angel,10000,Seed
2018,Buck.ai,Seed,40000,Seed
2018,Stackin',Series Unknown,2000000,Uncategorized
2018,KapitalWise,Seed,0,Seed
2018,VeriSmart,Seed,200000,Seed
2018,Taste,Seed,0,Seed
2018,UniBit Inc.,Seed,0,Seed
2018,Tethr,Series Unknown,0,Uncategorized
2018,Invacio Research Analytica,Initial Coin Offering,400000,Uncategorized
2018,Voiceitt,Seed,0,Seed
2018,Figure,Series Unknown,50000000,Uncategorized
2018,Dave Inc.,Debt Financing,10000000,Uncategorized
2018,Relativity6,Seed,0,Seed
2018,Deserve,Debt Financing,50000000,Uncategorized
2018,Meniga,Series Unknown,3671400,Uncategorized
2018,LassoX,Series Unknown,1999999,Uncategorized
2018,Advanced Virtual,Series A,2500000,Early Stage
2018,Poleecy,Seed,369270,Seed
2018,savedroid,Initial Coin Offering,50000000,Uncategorized
2018,CarBlip,Seed,2000000,Seed
2018,Bellabeat,Series Unknown,0,Uncategorized
2018,Element Inc,Series A,12000000,Early Stage
2018,Kristal.AI (O2O Technologies Pte Ltd),Seed,1850000,Seed
2018,Arkera,Funding Round,5611304,Uncategorized
2018,Voiceitt,Convertible Note,500000,Seed
2018,GlobalWonks,Seed,349999,Seed
2018,BlockClaim,Seed,633723,Seed
2018,Saffe,Seed,0,Seed
2018,Ayomi,Seed,1232100,Seed
2018,Efortles Inc,Seed,30000,Seed
2018,Creditas Solutions,Seed,0,Seed
2018,Sift Science,Series D,53000000,Late Stage
2018,zeroone.ai,Seed,23112,Seed
2018,iChain Inc.,Seed,460000,Seed
2018,ForwardLane,Seed,4750000,Seed
2018,CoAlpha,Angel,0,Seed
2018,BovaMetrics,Seed,100000,Seed
2018,SESAMm,Series A,3195660,Early Stage
2018,Sift Science,Secondary Market,0,Late Stage
2018,BlockchainCybertech Limited,Series A,200000,Early Stage
2018,Rossum,Seed,750000,Seed
2018,Capte,Non Equity Assistance,0,Seed
2018,Volareo,Seed,0,Seed
2018,Hummingbird Technologies,Series A,4836027,Early Stage
2018,Tradeteq,Seed,0,Seed
2018,Arkera,Series A,5499774,Early Stage
2018,Ascent Technologies Inc.,Series A,6000000,Early Stage
2018,Sunbit,Series B,0,Early Stage
2018,Workspez,Seed,0,Seed
2018,Lunar Digital Assets,Seed,0,Seed
2018,Artificial Labs,Convertible Note,1381439,Seed
2018,Pagaya,Debt Financing,75000000,Uncategorized
2018,UniBit Inc.,Seed,300000,Seed
2018,GeoSpock Ltd.,Series A,6600000,Early Stage
2018,QARA Soft,Seed,999999,Seed
2018,Wearable X,Funding Round,0,Uncategorized
2018,DataVisor,Series C,40000000,Late Stage
2018,Apical Technology,Seed,0,Seed
2018,Bruno,Seed,1244000,Seed
2018,Ocrolus,Seed,0,Seed
2018,WeTuring,Seed,2000000,Seed
2018,ForCity,Series A,9965600,Early Stage
2018,Bkper,Seed,0,Seed
2018,Saagie,Series A,6189500,Early Stage
2018,NetObjex,Equity Crowdfunding,107000,Uncategorized
2018,Swoup,Seed,0,Seed
2018,TypingDNA,Seed,100000,Seed
2018,Allure Security Technology Inc.,Seed,5300000,Seed
2018,OptaCredit,Debt Financing,3999999,Uncategorized
2018,humn.ai,Pre Seed,0,Seed
2018,NetPay,Debt Financing,1387062,Uncategorized
2018,RootAnt,Angel,84999,Seed
2018,savedroid,Series Unknown,1834499,Uncategorized
2018,Parabole.ai,Convertible Note,1650000,Seed
2018,Awen Collective Ltd,Seed,0,Seed
2018,moneytor,Seed,300000,Seed
2018,BISON,Series Unknown,0,Uncategorized
