Founded Date,Founded Date Precision,Organization Name,Organization Name URL,Categories,Description,Headquarters Location,Headquarters Regions,Operating Status,Hub Tags,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Acquisitions,Acquisition Status
2014-08-30,day,Heliocor,https://www.crunchbase.com/organization/heliocor,"Apps, Artificial Intelligence, Banking, Blockchain, Compliance, Cryptocurrency, FinTech, Information Technology, Machine Learning, Software",SaaS. Building a Digital Identity Ecosystem.,"City Of London, England, United Kingdom",European Union (EU),Active,,2,Seed,2018-11-01,1700000,USD,1700000,Pre-Seed,2700000,USD,2700000,,
2017-04-01,month,Oriente,https://www.crunchbase.com/organization/oriente,"Artificial Intelligence, Asset Management, Big Data, Consumer Lending, FinTech, Lending, Machine Learning, Micro Lending, Mobile, Mobile Apps",Oriente is building a new digital financial services infastructure to unlock economic opportunity for emerging Asia's underserved.,"Hong Kong, Hong Kong Island, Hong Kong",Asia-Pacific (APAC),Active,,2,Early Stage Venture,2018-11-28,105000000,USD,105000000,Series A,105000000,USD,105000000,,
2015-01-01,year,Lemonade,https://www.crunchbase.com/organization/lemonade,"Artificial Intelligence, Financial Services, Insurance, InsurTech","Lemonade is a full stack insurance company powered by AI and behavioral economics, and driven by social good.","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,5,Late Stage Venture,2017-12-19,120000000,USD,120000000,Series C,180000000,USD,180000000,,
2010-01-01,year,Trusted Insight,https://www.crunchbase.com/organization/trusted-insight,"Artificial Intelligence, Finance, FinTech, Hedge Funds, Machine Learning, Private Social Networking, Venture Capital",Trusted Insight is the leading Institutional Syndication Platform for Alternative Assets. Its members manage over $18 Trillion in AUM.,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Active,,5,Early Stage Venture,2016-08-18,,,,Series A,7700000,USD,7700000,,
2016-10-01,day,Fluidly,https://www.crunchbase.com/organization/fluidly,"Accounting, Business Information Systems, Financial Services, Machine Learning","Fluidly is fundamentally rethinking the way businesses plan and manage cashflow, using data science, accounting domain expertise.","London, England, United Kingdom",European Union (EU),Active,,2,Early Stage Venture,2018-11-13,5000000,GBP,6507501,Series A,7000000,GBP,9193445,,
2010-11-01,day,Drawbridge,https://www.crunchbase.com/organization/drawbridge,"Analytics, Artificial Intelligence, Big Data, Digital Marketing, Identity Management, Machine Learning, Mobile, Personalization, SaaS","Drawbridge connects, unifies, and supercharges customer data to create a complete view of the people you do business with.","San Mateo, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,,6,,2018-08-20,15000000,USD,15000000,Venture - Series Unknown,68740000,USD,68740000,,
2012-01-01,year,Onfido,https://www.crunchbase.com/organization/onfido,"Artificial Intelligence, Compliance, FinTech, Identity Management, Information Technology, Internet, Security, Software",Onfido builds trust in an online world by helping businesses digitally verify people’s identities.,"London, England, United Kingdom",European Union (EU),Active,,6,Late Stage Venture,2017-09-27,30000000,USD,30000000,Series C,60300000,USD,60300000,,
2012-12-01,day,AppZen,https://www.crunchbase.com/organization/appzen,"Accounting, Artificial Intelligence, Big Data, Enterprise Software, FinTech, SaaS",AppZen offers an artificial Intelligence powered SaaS solution for automating enterprise back office processes.,"Santa Clara, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Active,,6,Early Stage Venture,2018-10-30,35000000,USD,35000000,Series B,51000000,USD,51000000,,
2009-03-09,day,Meniga,https://www.crunchbase.com/organization/meniga,"Advertising Platforms, Artificial Intelligence, Banking, Data Integration, Financial Services, Machine Learning, Personal Finance, Personalization, Software",Leader in digital banking solutions helping financial institutions worldwide utilise data to improve digital channels & customer engagement.,"London, England, United Kingdom",European Union (EU),Active,,12,,2018-11-06,3000000,EUR,3432431,Venture - Series Unknown,34088333,USD,34088333,,
2015-01-01,year,omni:us,https://www.crunchbase.com/organization/omnius,"Artificial Intelligence, Insurance, InsurTech, Machine Learning",omni:us delivers structured data from highly variable documents to streamline insurance back end processes.,"Berlin, Berlin, Germany",European Union (EU),Active,,2,Early Stage Venture,2018-10-30,19700000,EUR,22352606,Series A,23900000,EUR,26815942,,
