3-Dec-18,2,Zelros ,EUR,4000000,Series A,42CAP and 2 other investors
,,Axyon AI ,EUR,1300000,Series Unknown,ING Ventures and UniCredit Group
28-Nov-18,1,Oriente ,USD,105000000,Series A,Berjaya and 3 other investors
23-Nov-18,1,MDOTM AI-Driven Investment Strategies ,EUR,2000000,Series A,
19-Nov-18,1,QuantumSense ,NA,undisclosed,Seed,
15-Nov-18,1,OnSiteIQ ,USD,2000000,Seed,Anthemis Group and MetaProp NYC
14-Nov-18,1,Syndio Solutions ,USD,5200000,Seed,Contour Venture Partners and 2 other investors
13-Nov-18,2,Knowtions Research ,USD,5000000,Series A,Alibaba Entrepreneurs Fund and Information Venture Partners
,,Fluidly ,GBP,5000000,Series A,Anthemis Group and 4 other investors
7-Nov-18,1,Fraugster ,USD,14000000,Series B,CommerzVentures GmbH and 5 other investors
6-Nov-18,1,Meniga ,EUR,3000000,Series Unknown,Islandsbanki
3-Nov-18,1,LogosBlock ,USD,750000,Seed,
1-Nov-18,3,AND Global Pte.Ltd ,USD,5300000,Seed,Rhinos Asset Management
,,Symend ,USD,175000,Grant,Finance Montréal
,,Heliocor ,USD,1700000,Pre Seed,
30-Oct-18,3,omni:us ,EUR,19700000,Series A,Anthemis Group and 3 other investors
,,AppZen ,USD,35000000,Series B,Lightspeed Venture Partners and 2 other investors
,,PeopleFund ,USD,11000000,Series B,500 Startups and 3 other investors
26-Oct-18,1,HyperProof ,USD,1750000,Series Unknown,
23-Oct-18,2,Blue Ocean Robotics ,EUR,14900000,Series Unknown,Niels Thorborg and Nordic Eye Venture Capital
,,Skyline Partners ,NA,undisclosed,Series Unknown,OneAdvent
22-Oct-18,2,Crisp Thinking ,USD,25000000,Series Unknown,Baird Capital
,,Finn AI ,CAD,14000000,Series A,1843 Capital and 3 other investors
15-Oct-18,2,SHADE.ai ,NA,undisclosed,Seed,
,,Stakana Analytics ,NA,undisclosed,Seed,
4-Oct-18,1,Lokalist ,EUR,40000,Pre Seed,Overkill Ventures
3-Oct-18,1,MK Decision ,USD,938000,Pre Seed,
1-Oct-18,3,Tokendata ,NA,undisclosed,Initial Coin Offering,
,,Delos ,USD,205000,Seed,
,,10XTS ,NA,undisclosed,Series A,
30-Sep-18,1,Solisite ,USD,160000,Seed,
28-Sep-18,1,Akselos ,USD,10000000,Series Unknown,innogy Ventures and Shell Technology Ventures
26-Sep-18,1,Canopy ,USD,4800000,Series A,Dymon Asia Ventures
21-Sep-18,1,Cleo ,USD,10000000,Series A,Balderton Capital and LocalGlobe
20-Sep-18,1,Funding Options ,GBP,5000000,Series Unknown,ING Ventures
19-Sep-18,1,Site 1001 Inc. ,USD,6275000,Series Unknown,
14-Sep-18,2,Responsive ,CAD,1100000,Seed,Plug and Play
,,AdviceRobo ,NA,undisclosed,Series Unknown,KPMG
12-Sep-18,2,Scylla ,NA,undisclosed,Seed,Startupbootcamp
